candidate_name,votes_received,party_affiliation,constituency,winning_status
Almeta Chaffin,913437,Wiper,Nakuru,True
Hal Parkin,591529,ANC,Nakuru,True
Quinlan Matityahu,14917,Wiper,Nairobi,True
Sal Quadri,711181,ODM,Mombasa,False
Torrey Trelevan,202643,UDA,Mombasa,True
Odessa MacGettigen,560937,Jubilee,Mombasa,False
Chucho Medgwick,55892,Wiper,Nakuru,False
Ruprecht Gravestone,354664,UDA,Nakuru,True
Lois Leete,197823,Wiper,Nakuru,True
Frank Elston,457769,Wiper,Nakuru,False
Dannel de Courcey,912701,Jubilee,Nakuru,True
Ingmar Rowdell,271905,ANC,Nakuru,False
Ash Mayman,701017,UDA,Kisumu,False
Modestia Chomicz,128054,Wiper,Mombasa,False
Bibbye Legrand,344812,ODM,Kisumu,True
Taffy Rosenkranc,922123,UDA,Kisumu,False
Jilleen Magarrell,30607,ODM,Nairobi,True
Caresa Cleft,832077,ANC,Kisumu,False
Lizabeth Yesichev,209836,Jubilee,Mombasa,True
Ofella Baggalley,427834,ODM,Nairobi,False
Ardith MacLese,803625,ODM,Eldoret,False
Emmalynn Swetenham,993973,Wiper,Eldoret,True
Dylan Lugden,430894,ODM,Nairobi,False
Jena Marklin,271505,UDA,Mombasa,False
Celestyna McCreath,594782,ANC,Kisumu,False
Elisabet Hryniewicz,356294,UDA,Kisumu,False
Valeda Giannazzi,331452,ANC,Mombasa,True
Dolli Mackelworth,161686,ODM,Mombasa,True
Madel Pleace,21572,ODM,Mombasa,True
Sophronia Huncoot,39634,ANC,Eldoret,True
Delinda Allsupp,742788,ODM,Eldoret,True
Val Brokenshire,81910,ODM,Nakuru,False
Camilla Behnke,178629,Jubilee,Mombasa,False
Guillermo Lode,992717,Jubilee,Nairobi,False
Lou O' Brian,240707,ODM,Nakuru,True
Jeddy Rowthorne,933382,UDA,Mombasa,False
Phyllys Mayston,67705,Jubilee,Nairobi,True
Lanie Chamney,790383,ODM,Nairobi,True
Roana Charrett,200238,Wiper,Kisumu,True
Kipp Demcik,971862,Wiper,Nakuru,False
Pail Spillman,104849,Wiper,Nakuru,True
Fernandina Gillibrand,602596,UDA,Eldoret,False
Moira Mirando,781578,ODM,Mombasa,False
Florence Dallaghan,551102,Wiper,Eldoret,True
Sarah Kynforth,677962,ANC,Eldoret,False
Joceline Manvell,934852,Wiper,Eldoret,False
Orrin Dewis,673598,UDA,Mombasa,False
Simona Petel,493977,ANC,Kisumu,False
Jody Atcheson,10379,Jubilee,Nairobi,True
Tallulah Kwietak,470143,ANC,Kisumu,True
Jeffie Lashbrook,512240,Jubilee,Kisumu,False
Berne Laban,597647,ODM,Nairobi,True
Rosella Cuzen,794422,UDA,Kisumu,False
Starla McElvine,564464,Jubilee,Eldoret,False
Vivia Stubbe,60399,UDA,Kisumu,False
Marjory McGrath,990159,ANC,Nakuru,True
Clovis Eyre,921053,UDA,Mombasa,True
Tanny Godding,442588,ANC,Nairobi,False
Vitoria Duesbury,850648,ANC,Eldoret,True
Wyn Lechmere,222792,Wiper,Eldoret,True
Florian Agastina,728736,Jubilee,Eldoret,False
Jere Sewards,711430,ODM,Kisumu,True
Cassaundra Cuardall,380313,Wiper,Nairobi,True
Peta Dyerson,914304,Wiper,Nakuru,True
Fernando Prine,463816,UDA,Kisumu,True
Dev Gritsunov,880470,Jubilee,Mombasa,True
Lianna Adkin,284587,Wiper,Mombasa,False
Aimil Zelley,371514,ANC,Nairobi,True
Carmelle Marsay,328837,Jubilee,Nakuru,False
Alverta Conyers,851734,Jubilee,Nairobi,False
Rozina Sergison,795197,ODM,Eldoret,True
Chaunce Frostdicke,481168,UDA,Nakuru,True
Conway Slee,471225,Wiper,Nairobi,False
Gareth Ricker,842894,ODM,Mombasa,True
Chaim Percifull,271678,ODM,Kisumu,False
Fannie Geggie,61931,ANC,Kisumu,False
Gwenette Wolford,405675,Wiper,Nairobi,False
Loree Sharpin,363414,Wiper,Nairobi,False
Willdon Giacomini,292492,ODM,Mombasa,False
Caddric Limrick,814851,UDA,Eldoret,False
Palm Kender,296205,ODM,Nairobi,False
Reinwald Alman,845421,Wiper,Eldoret,False
Lilian Bampforth,578972,ANC,Kisumu,True
Antonetta Ferentz,734092,UDA,Kisumu,False
Glendon Gorghetto,794194,UDA,Nairobi,False
Emylee Jedrysik,609723,Jubilee,Nairobi,False
Car Masdon,711900,ANC,Nairobi,True
Christi Portinari,117853,UDA,Kisumu,True
Daffy Braxton,129365,ODM,Nakuru,True
Paige Gillings,701917,Jubilee,Nakuru,True
Shea Butting,586144,Wiper,Eldoret,True
Elianore Hasser,360683,Wiper,Nakuru,False
Rebeka Peachment,39420,ANC,Mombasa,False
Shari Wilder,886594,ANC,Mombasa,True
Christye McFarlan,596201,UDA,Nakuru,False
Neill Valenti,926269,ANC,Eldoret,True
Izabel Deme,560358,UDA,Nakuru,False
Shalom Castagnone,636013,Wiper,Eldoret,False
Raff Antoniak,441090,Wiper,Nakuru,True
Carri Van der Beken,113900,ANC,Eldoret,True
Issiah Whitty,178863,ANC,Kisumu,True
Vincenty Smy,576717,ANC,Kisumu,False
Roanne How,579375,Wiper,Mombasa,True
Sarette Gingle,34510,ANC,Nairobi,True
Luise Faughey,333745,ODM,Nairobi,True
Vonnie Brosius,407537,UDA,Mombasa,False
Augusta Brehault,922529,Jubilee,Eldoret,False
Travus Fetherston,262582,ODM,Eldoret,True
Bennett Spacie,440610,UDA,Nakuru,False
Taryn Breakspear,495032,ODM,Mombasa,False
Kelsi McMurrugh,351236,ODM,Nairobi,True
Isabel McKeurton,710653,UDA,Mombasa,True
Dare Gallaway,280530,Jubilee,Nakuru,True
Marys Dat,737317,Jubilee,Nairobi,False
Davine Roseborough,628428,ANC,Kisumu,True
Brynn Waddams,516280,ANC,Nakuru,True
Lorna Firmager,836906,ODM,Nakuru,True
Berta Ullock,794316,ANC,Nakuru,True
Waverley Purcer,351620,UDA,Kisumu,True
Elliott Rollitt,518105,ANC,Kisumu,True
Bear Roos,668951,UDA,Kisumu,True
Augustine Emeney,71148,UDA,Kisumu,True
Glynn Biset,42249,UDA,Kisumu,True
Annadiane Outibridge,593751,Jubilee,Mombasa,True
Janetta Cushworth,861023,Wiper,Nakuru,False
Dun Damarell,602711,UDA,Nairobi,True
Blanca Hallede,59193,Jubilee,Kisumu,True
Jackson Gartsyde,723026,Jubilee,Kisumu,True
Michaeline Boutellier,685061,ANC,Eldoret,True
Nat Gealle,387580,ANC,Mombasa,True
Thomasin Guiot,589548,ODM,Mombasa,False
Hubie Prangley,663806,Wiper,Kisumu,False
Slade Bullivent,152706,UDA,Eldoret,False
Fernanda Milbourn,941017,ODM,Mombasa,False
Halley Howorth,406796,ANC,Nakuru,False
Roseanne Dabling,130499,ANC,Eldoret,True
Alissa Kelland,144243,ANC,Nairobi,True
Joete Dengel,549863,ODM,Nairobi,True
Salvatore Redmire,600878,Jubilee,Nakuru,False
Amandie Letertre,700695,UDA,Mombasa,False
Bartram Magister,773079,ANC,Kisumu,False
Hobie Sebrens,13842,Wiper,Kisumu,True
Aindrea De La Haye,959976,Wiper,Nairobi,False
Wells Plumptre,709930,Jubilee,Nakuru,False
Marget Humfrey,933262,Jubilee,Eldoret,True
Charlena Kleinhausen,624550,ODM,Mombasa,False
Carr Drain,839607,Wiper,Mombasa,True
Jacenta Pitcock,578756,UDA,Nakuru,True
Maxwell Carratt,707527,ANC,Nakuru,True
Ingrid Luis,763851,Wiper,Mombasa,False
Malory Ivankin,192357,ODM,Mombasa,False
Pammie Cartmale,622170,Wiper,Kisumu,True
Gaby Mityukov,595480,Wiper,Kisumu,False
Nanci Woodrow,338927,Jubilee,Nakuru,False
Noami Thridgould,313350,ANC,Eldoret,True
Shawn Lindroos,385877,ODM,Kisumu,False
Elia Leckenby,819369,Jubilee,Mombasa,True
Marcellina Lind,256420,UDA,Nakuru,False
Rod Paddemore,35768,ANC,Eldoret,True
Stormy Canet,569464,Wiper,Kisumu,False
Lura Raggles,262039,ANC,Kisumu,True
Eachelle Leopold,29425,UDA,Eldoret,True
Peggie Ingleson,174917,ANC,Kisumu,False
Buddie Scough,171978,Jubilee,Mombasa,False
Shelley Lethieulier,635534,ANC,Nakuru,True
Bee Phin,687232,Wiper,Eldoret,False
Chiquia Setterthwait,808798,Wiper,Eldoret,False
Fredric Rippingall,873344,Wiper,Mombasa,False
Chariot Ainsworth,368326,ODM,Eldoret,True
Filberte Wainman,264962,UDA,Mombasa,True
Winnah Gwatkins,574882,ANC,Kisumu,True
Fleurette Melloi,441184,UDA,Mombasa,False
Leoine Bilbery,790979,UDA,Nairobi,True
Almire Scotti,701379,UDA,Nakuru,False
Shelia MacGee,286167,ANC,Eldoret,False
Alexandre Buckingham,494727,Wiper,Eldoret,False
Rustie Brownscombe,192612,Jubilee,Nakuru,True
Salomon Elphick,149147,Jubilee,Mombasa,True
Mureil Greenough,798433,Wiper,Nairobi,True
Erl Keetley,703165,ODM,Mombasa,False
Ansel Altoft,479279,Wiper,Nakuru,False
Axel Brisco,967565,ODM,Mombasa,True
Lishe Ruse,684831,Jubilee,Kisumu,True
Anatole Carefull,515885,ODM,Nairobi,True
Mayer McBay,193166,ODM,Eldoret,True
Jehanna Delea,10131,Jubilee,Nairobi,True
Charlotte Raymond,237661,ODM,Mombasa,False
Ynes Lamburne,31344,ANC,Nairobi,False
Goddard Leuchars,614236,ANC,Eldoret,False
Grantley Maypowder,272290,UDA,Mombasa,False
Halley Baudy,213939,Jubilee,Eldoret,False
Bertina Melross,793896,Wiper,Nairobi,False
Jameson Cudbird,330856,Jubilee,Eldoret,True
Chick Albany,265629,ODM,Mombasa,False
Herbie McCaig,454542,ANC,Nairobi,False
Heindrick Dowsey,150083,Wiper,Kisumu,False
Melinda Ripsher,432865,Jubilee,Nakuru,True
Afton Winspire,270543,UDA,Mombasa,False
Rae Philcott,31825,ANC,Kisumu,True
Lindsey Mateev,754005,Wiper,Kisumu,False
Saxon O'Fogarty,750735,Jubilee,Kisumu,False
Amity Watmore,377564,ODM,Eldoret,True
Carlen Pettican,174791,ODM,Nakuru,True
Vlad Keme,665853,ANC,Kisumu,False
Christye Derr,560356,ANC,Eldoret,False
Joan Haquin,137229,ODM,Nakuru,False
Alikee Depke,521983,ODM,Nakuru,False
Mahala McIsaac,533055,ANC,Eldoret,True
Adah Louys,754375,UDA,Mombasa,False
Belinda Parley,121929,Jubilee,Kisumu,False
Doris Spatari,856035,ODM,Kisumu,False
Collette Glasscott,555642,UDA,Nakuru,True
Miran Sidry,898703,UDA,Nakuru,False
Leontine Richardson,191585,ODM,Kisumu,False
Gaylor Beazley,926472,ANC,Mombasa,False
Malorie Hanselmann,211148,Wiper,Eldoret,True
Inna Chestnut,982263,ANC,Nakuru,True
Alon Munnis,857850,Wiper,Nairobi,False
Julianna Franzman,733664,Wiper,Kisumu,False
Kerr Bairnsfather,100979,Wiper,Mombasa,False
Reynolds Halegarth,481511,Wiper,Nairobi,True
Berenice Ratledge,407408,Wiper,Nairobi,True
Gunner Godbert,162581,Jubilee,Nakuru,True
Alicia Himsworth,982836,ANC,Nairobi,True
Ike Croston,76113,ANC,Eldoret,True
Shela Wintour,559051,UDA,Nairobi,False
Alejandra McLane,411560,Jubilee,Kisumu,True
Tobie Vitet,706988,UDA,Mombasa,True
Ailyn Cathie,261472,ODM,Nairobi,True
Sansone Albertson,686108,Jubilee,Kisumu,False
Bettine Tooby,140256,Jubilee,Mombasa,True
Trumann Mathis,183842,Jubilee,Nairobi,False
Nelson MacNess,426873,ANC,Eldoret,False
Drucie Crebott,504168,ANC,Nakuru,False
Rhodie Izard,963388,Wiper,Nakuru,True
Ashlin Yeaman,131058,ODM,Nairobi,True
Sean Triswell,745055,ANC,Nairobi,True
Malissia Mulvany,443291,Wiper,Nakuru,True
Teirtza Crommett,5800,UDA,Mombasa,True
Regine Bartlam,562872,ANC,Kisumu,False
Gil Zanolli,31379,Wiper,Kisumu,True
Letty South,80780,Wiper,Kisumu,False
Windham Shimwall,257465,Wiper,Nakuru,True
Kathrine Balk,741902,ANC,Kisumu,False
Florry De Few,959911,UDA,Kisumu,True
Edith Tivnan,683872,Jubilee,Eldoret,True
Hortensia Proudler,101499,UDA,Nakuru,False
Miller Winfrey,956651,ODM,Nairobi,False
Laraine Ardling,554888,UDA,Nairobi,True
Prescott Rosander,769068,ODM,Mombasa,True
Dusty Fullman,178368,ANC,Nairobi,True
Nicholas Grigson,770035,ODM,Mombasa,True
Quinta Palatini,137026,Wiper,Nakuru,True
Ulrick Doubleday,817647,ANC,Mombasa,True
Leon Moreno,794466,Jubilee,Kisumu,False
Bob Gisburn,989286,ODM,Eldoret,False
Boonie Delacroux,399150,UDA,Nairobi,True
Lou Hazeley,402226,Jubilee,Nairobi,False
Isaac Swyer,815812,Wiper,Eldoret,True
Ag Kearsley,88164,ODM,Kisumu,True
Ailee Klazenga,772998,ANC,Eldoret,True
Collie Peye,504863,Jubilee,Nairobi,False
Shurlocke Bastock,914067,ODM,Kisumu,True
Giorgio Tieman,367657,Jubilee,Nakuru,False
Vinny Clinton,979615,Wiper,Eldoret,False
Henderson Guynemer,648143,ODM,Nairobi,True
Lesli Yurmanovev,116943,ANC,Kisumu,True
Augy Lemery,463626,ANC,Eldoret,True
Enrico Capsey,194729,ODM,Kisumu,False
Tammi Infantino,622335,ODM,Nairobi,False
Maegan Skelhorn,250983,UDA,Eldoret,False
Laureen Lawlings,845582,UDA,Kisumu,True
Cazzie Jacobsson,591302,Jubilee,Eldoret,False
Lavena McGuggy,145260,UDA,Mombasa,False
Sylvester Kuschek,238549,ANC,Mombasa,True
Ronnie Huikerby,503990,Jubilee,Nakuru,True
Griffy Cavnor,55453,ANC,Nairobi,True
Alric Toler,646378,UDA,Mombasa,True
Tarah Bacchus,878203,Jubilee,Eldoret,False
Maurits Igo,777410,Wiper,Mombasa,False
Wilek Ferier,993350,UDA,Nakuru,True
Esme Merriott,468901,ODM,Eldoret,False
Harriot Barrass,860802,ANC,Mombasa,True
Marylynne Zuenelli,185421,Jubilee,Mombasa,False
Carley Dimitresco,164494,UDA,Mombasa,True
Walt Dye,711483,ODM,Kisumu,True
Nicolai Luberto,398238,Wiper,Nakuru,True
Rasia Mickleburgh,471880,UDA,Kisumu,False
Adriane Hassey,869779,ODM,Mombasa,False
Roxie Nadin,343439,ANC,Kisumu,True
Kasey Kleinber,985276,ODM,Eldoret,True
Kristoffer Niesing,389614,UDA,Nairobi,False
Rodrigo Voaden,862391,Jubilee,Eldoret,False
Edlin Vile,496726,ODM,Eldoret,False
Baxy Woolfenden,689071,Jubilee,Nakuru,False
Dieter Denyukin,742043,ANC,Eldoret,False
Elnore Yarmouth,754379,ANC,Eldoret,False
Wendell Fusco,391431,UDA,Mombasa,False
Dasha Dunckley,19936,UDA,Mombasa,True
Ragnar Delong,875097,Jubilee,Nakuru,False
Kalila Nardrup,173914,Jubilee,Eldoret,True
Reyna Christaeas,555062,Wiper,Nakuru,False
Saunders Miguet,375065,ANC,Kisumu,True
Cecilio Spirit,995901,Wiper,Kisumu,False
Milty Toffanini,396976,ANC,Kisumu,False
Johnette Meakes,744153,UDA,Nakuru,False
Golda Yoakley,119767,UDA,Kisumu,False
Darda Broadbear,653551,ANC,Eldoret,False
Gustavo Pheazey,888727,Wiper,Nakuru,True
Henriette Varnam,888549,UDA,Nairobi,True
Ellen O'Bruen,351468,Wiper,Nakuru,False
Bevan Bosley,436010,Jubilee,Mombasa,True
Son Hopfner,232685,UDA,Nakuru,False
Hildegaard Buckney,664735,ANC,Nakuru,False
Claudianus O'Nions,739719,Wiper,Eldoret,True
Bibby Kippins,386219,UDA,Eldoret,True
Winfred Murden,103133,Wiper,Nakuru,False
Noam Verny,952284,UDA,Nairobi,True
Therese Skoyles,525222,ANC,Nairobi,False
Jolie Fallens,657142,ODM,Nakuru,True
Ellene Offell,898709,ODM,Kisumu,True
Nolly Motto,384999,ANC,Kisumu,True
Eulalie Mash,869776,UDA,Kisumu,True
Tristam Halbord,265076,ODM,Nakuru,False
Hamlin St. Pierre,229084,Jubilee,Nairobi,True
Lou Tyce,238538,UDA,Nairobi,True
Byrom Sedgemond,725942,Jubilee,Kisumu,True
Nedi Orts,522733,Jubilee,Kisumu,False
Tarah Strathman,375884,Wiper,Eldoret,True
Nial Dryburgh,409696,UDA,Kisumu,True
Alexa Biggins,398950,UDA,Nairobi,False
Carter Inglesfield,893502,ODM,Kisumu,True
Karia MacKettrick,191011,ODM,Kisumu,True
Lela Cleary,427707,UDA,Nakuru,False
Kristoffer Cianni,900504,Jubilee,Nairobi,True
Randolph Sandon,5614,ANC,Eldoret,True
Dar Sandwith,522757,Jubilee,Mombasa,True
Erina Widocks,652178,ANC,Nakuru,True
Cherida Simoncello,980637,ANC,Nairobi,True
Jason Castellone,67030,Wiper,Nakuru,True
Maddy Copello,725266,Jubilee,Mombasa,False
Pincas Goodbur,360893,Jubilee,Nairobi,True
Tammie Raddin,744242,ODM,Mombasa,True
Catrina Jagson,538509,Jubilee,Mombasa,False
Willette Boissier,615862,UDA,Eldoret,True
Ashley Sutton,122273,Wiper,Nairobi,False
Juliet Pepys,620364,Jubilee,Nairobi,True
Lara McEnhill,28084,Jubilee,Eldoret,False
Tanner Durrington,478239,Jubilee,Kisumu,False
Neilla Pollastrino,450019,UDA,Kisumu,False
Gail Errol,624661,Jubilee,Nakuru,False
Devon Glassman,934158,UDA,Nakuru,True
Bevin Van der Veldt,687112,Wiper,Eldoret,False
Sydelle Lowrance,693424,UDA,Nairobi,False
Werner Wonfar,133600,Jubilee,Kisumu,True
Stirling Reape,107676,ODM,Kisumu,False
Con Durston,357406,Jubilee,Nakuru,True
Fiona McCoole,494706,UDA,Nakuru,True
Kristoffer Duff,140456,ODM,Eldoret,False
Perceval McCullogh,815599,Wiper,Nairobi,False
Dwight Kroger,217862,ANC,Mombasa,True
Nanon Bawcock,169819,ODM,Nakuru,True
Holmes Binnie,228308,Wiper,Mombasa,False
Dorette Willshere,142867,ODM,Eldoret,False
Normie Pratley,833610,ODM,Nairobi,False
Raviv Shropshire,469109,Jubilee,Kisumu,True
Blanca Pancoust,505925,Jubilee,Mombasa,False
Duke Collman,715365,Jubilee,Nakuru,False
Madonna Cashley,16859,UDA,Nakuru,True
Nikolas McEnhill,146688,ANC,Eldoret,False
Colas Jankovsky,720656,ANC,Mombasa,True
Erinn Macconaghy,895039,ANC,Kisumu,False
Nicole Niese,115363,ODM,Eldoret,False
Berk Bohills,772257,Wiper,Eldoret,False
Lock Badwick,919015,UDA,Nairobi,False
Diahann Runnett,933069,ODM,Nakuru,True
Dene Allred,722846,ODM,Eldoret,True
Sherrie Meuse,455952,Jubilee,Nakuru,True
Tod Klampk,146604,ODM,Kisumu,False
Kurt Sheahan,187028,Jubilee,Mombasa,True
Tobias Henriet,769105,ANC,Nairobi,True
Elliott Liston,34934,Wiper,Mombasa,False
Gale Pimme,130735,ODM,Kisumu,False
Cointon Ruff,310295,Wiper,Kisumu,True
Aridatha Blamires,125818,ANC,Kisumu,False
Raffaello Bonder,209084,UDA,Kisumu,True
Florie Probet,128604,UDA,Kisumu,False
Neal Verheyden,659904,ODM,Eldoret,True
Hugues Moorrud,511355,ANC,Nakuru,True
Lorette Bosquet,901405,Jubilee,Mombasa,False
Kenneth Martinat,955598,UDA,Nakuru,False
Lorne Guinnane,442068,UDA,Mombasa,True
Abeu Pedrielli,487452,UDA,Eldoret,False
Byrle Salomon,166596,ODM,Eldoret,True
Erminie Bader,111092,UDA,Mombasa,True
Eberto Pinnock,460114,UDA,Nakuru,True
Ferdinanda Slader,572901,ODM,Eldoret,True
Daniella Cheverton,878007,Wiper,Mombasa,True
Wenona Sharrem,709093,UDA,Mombasa,False
Neda Kynder,993077,UDA,Nakuru,False
Lucas McGannon,793293,UDA,Nakuru,True
Frayda Ricciardiello,23801,ANC,Eldoret,True
Faustina Pell,282438,ODM,Eldoret,True
Myrlene Campione,87027,Wiper,Nakuru,False
Arnuad Chasmor,74204,ANC,Eldoret,True
Alexis Lemanu,108297,UDA,Nakuru,False
Washington Westell,844001,Wiper,Nakuru,False
Sybil Regan,166218,Wiper,Nairobi,False
Georas Schulter,203315,UDA,Nairobi,True
Padget Dmitriev,194406,Wiper,Nairobi,False
Francisca Raper,316051,ANC,Nairobi,False
Langsdon Everix,764097,ODM,Nairobi,True
Orella Vasser,58381,Jubilee,Eldoret,False
Jessamyn Vannoni,602033,ANC,Nairobi,True
Ellie Levings,385092,ANC,Nairobi,True
Iolande Josipovic,13297,UDA,Mombasa,False
Ab Geraldi,287151,UDA,Mombasa,False
Lenka Jeens,554952,UDA,Nakuru,True
Donny Briar,578097,Jubilee,Nakuru,False
Jammie Damper,398008,ODM,Kisumu,False
Archaimbaud Jacklin,255863,ANC,Eldoret,False
Amandi Turville,65733,ANC,Kisumu,False
Ardyce McKeady,61131,ANC,Nairobi,True
Marilyn Aulds,646574,ODM,Eldoret,True
Brigid Cutbirth,63664,Wiper,Mombasa,False
Margarethe Edie,632960,Jubilee,Nairobi,False
Kylila Reddish,268737,UDA,Nakuru,False
Elvera Glendining,257302,UDA,Kisumu,False
Hallsy Grisenthwaite,985107,Wiper,Nairobi,False
Shawna Liveing,797298,Wiper,Eldoret,False
Maddy Philps,961992,Jubilee,Mombasa,True
Kile Castilla,454662,UDA,Kisumu,False
Ulberto Crowdy,694791,Wiper,Eldoret,True
Virgina Simm,718063,UDA,Mombasa,True
Adam Cryer,852242,ANC,Eldoret,False
Enid Chillistone,708440,ODM,Mombasa,False
Blakelee Greenig,284292,ODM,Nairobi,False
Elvin Brabban,528072,Wiper,Nairobi,True
Trumaine Marmon,460149,ODM,Nakuru,False
Nevins Norrington,336515,Wiper,Nairobi,False
Janella Kezar,365557,Jubilee,Nairobi,True
Caralie Veque,438886,Wiper,Nairobi,False
Hunfredo Esterbrook,511380,UDA,Eldoret,False
Caria Kidder,353622,UDA,Nairobi,True
Janette Furbank,875697,Jubilee,Nairobi,False
Lazar Gyrgorwicx,191633,Jubilee,Nakuru,False
Reube Scotney,868933,UDA,Kisumu,True
Cathryn Downie,623927,ANC,Eldoret,True
Ramsay Mattocks,538862,ODM,Kisumu,True
Ashly Milne,204487,Jubilee,Eldoret,False
Manya Cess,337213,ANC,Mombasa,False
Georg Jaan,355641,Jubilee,Eldoret,False
Noach Sparshett,336123,ODM,Mombasa,False
Sarette Beetlestone,442034,Jubilee,Eldoret,False
Dunn McGrorty,634402,ANC,Eldoret,False
Malina Adlem,198842,ODM,Kisumu,False
Kennith Forsey,559626,UDA,Nairobi,True
Danice Duckerin,45021,UDA,Mombasa,False
Tobit Spurgeon,972098,ANC,Eldoret,True
Cyndy Wilsey,155830,Wiper,Mombasa,False
Zitella Stedell,150711,ODM,Eldoret,True
Glen Gocke,367314,ODM,Nakuru,True
Annette Casarino,937909,Wiper,Nairobi,True
Tammy Curle,123200,ODM,Nakuru,False
Herta Edworthye,348899,ANC,Mombasa,True
Peggy Speck,649978,ODM,Eldoret,False
Tonnie Cantopher,790360,ANC,Kisumu,True
Norine Gallihawk,786726,ANC,Eldoret,True
Jordanna Boscott,345563,ANC,Nairobi,False
Ralph Lester,379431,Jubilee,Eldoret,True
Cilka Vance,371334,Wiper,Nairobi,False
Caron Antonetti,472537,ODM,Eldoret,True
Billi Van der Beken,105038,Wiper,Mombasa,False
Myron Haily,952920,ANC,Nakuru,True
Ania Haydney,735160,UDA,Nakuru,False
Cesare Peasegod,510847,Jubilee,Kisumu,True
Roderic Nyssens,293293,Jubilee,Nakuru,True
Lorie Pimm,326926,ANC,Kisumu,False
Theodosia Ferrario,65260,ODM,Nairobi,False
Stephan Peplow,250810,ANC,Eldoret,False
Casar Wartonby,162853,ODM,Mombasa,False
Sibby Treffrey,261153,Wiper,Nakuru,False
Lottie Britch,460931,Wiper,Mombasa,True
Lissy Thaw,468798,ANC,Nairobi,False
Tatum Sandyford,533425,ODM,Nairobi,True
Bidget Ogborne,744241,ANC,Kisumu,True
Gordie Grose,769273,ODM,Nairobi,False
Diahann Torra,506144,Wiper,Kisumu,False
Tarrance Cranmere,78056,UDA,Eldoret,True
Flor Hambly,248504,Wiper,Eldoret,False
Ricky Hundell,792140,ODM,Nakuru,True
Townie Bloodworthe,732686,ANC,Nairobi,False
Katusha Clough,602577,Jubilee,Kisumu,True
Riane O'Scollain,883755,Jubilee,Kisumu,True
Vivie Jumeau,688603,ANC,Nairobi,True
Yoshiko Leverett,909629,UDA,Eldoret,False
Walther Grisedale,181256,Jubilee,Nairobi,False
Libbie Argente,891144,ODM,Mombasa,True
Druci Sigward,717127,Wiper,Mombasa,True
Emiline Bernard,354260,Wiper,Nakuru,True
Oralia Martinson,823321,UDA,Mombasa,True
Mathew Stidworthy,870531,Jubilee,Kisumu,True
Roobbie Salvadore,438520,ODM,Nairobi,False
Oriana Trent,476100,Jubilee,Nakuru,False
Ollie Reedick,993090,ANC,Nairobi,False
Olympia Staite,401024,ANC,Nairobi,False
